CaseId,RequirementId,ModuleId,DisplayName,Category,ExecutionMode,Status,Required,ElapsedMilliseconds,Expected,Actual,Details
"system.coverage.unique_case_ids","","verification.infrastructure","system.coverage.unique_case_ids","Coverage","StaticContract","Pass",True,0,"모든 CaseId가 전역에서 유일","18 unique cases",""
"system.coverage.phase_a","","verification.infrastructure","system.coverage.phase_a","Coverage","StaticContract","Pass",True,0,"Phase A 모든 Requirement에 최소 1개 자동 검증 Case 연결","10/10 covered",""
"system.coverage.phase_b","","verification.infrastructure","system.coverage.phase_b","Coverage","StaticContract","Pending",False,0,"Phase B 18개 Requirement에 검증 Case 연결","Covered=0/18","Pending=C-09, C-12, C-13, C-15, C-17, C-18, C-19, C-20, C-21, C-22, C-23, C-24, C-25, C-27, C-48, C-49, C-41, C-43"
"system.contract.timing.authoring_five","C-42","canonical.contracts","Skill Timing Authoring 5종","Contract","StaticContract","Pass",True,1,"OnExecute / OnDuelMatched / OnExchangeWin / OnExchangeLose / OnClashEnd","OnExecute, OnDuelMatched, OnExchangeWin, OnExchangeLose, OnClashEnd",""
"system.contract.condition.canonical_layer","C-47","canonical.contracts","Canonical Condition Layer","Contract","StaticContract","Pass",True,2,"현재/직전 기세, stack range, stagger ratio, negative-status count, resource range","CurrentMomentumState, PreviousTurnMomentumState, CurrentMomentumRange, StatusStackRange, StaggerRatioRange, NegativeStatusCountRange, ResourceRange",""
"system.contract.loadout.3331","C-45","canonical.contracts","Loadout 3|3|3|1","Contract","StaticContract","Pass",True,0,"평타3 / 결투3 / 도사림3 / 위세1","3|3|3|1",""
"system.contract.power.curve","C-05","canonical.contracts","기본위력 Canonical Curve","Contract","StaticContract","Pass",True,0,"1:20, 2:12, 3:11, 4:9, 5:8 / 빛 1당 +2","Curve + EnergyPower PASS",""
"system.contract.skill_color.whole_skill","C-10","canonical.contracts","RED/BLUE 스킬 전체 색 계약","Contract","StaticContract","Pass",True,0,"SkillDefinition.Color가 roll legacy Type보다 우선","ExplicitRed=Red, ExplicitBlue=Blue",""
"system.contract.bodypart.skill_access","C-02","canonical.contracts","부위별 행동 접근 + 위세 슬롯리스 계약","Contract","StaticContract","Pass",True,1,"HEAD=평타·결투·도사림 / HAND=평타·결투 / LEGS=도사림 / Prestige=부위슬롯 불가","16/16 PASS",""
"system.contract.momentum.bands","C-46","canonical.contracts","기세 Band 고정값","Momentum","StaticContract","Pass",True,0,"-100..100 / -70,-30,+30,+70 / Hit20 / Duel40","Range=-100..100, Bands=-70/-30/30/70, Shift=20/40",""
"system.contract.fervor.thresholds","C-46","canonical.contracts","고조·열광 고정값","Fervor","StaticContract","Pass",True,0,"10/5/2/0/0, 문턱 4/8/10, 최대3","Gain=10/5/2/0/0, Cost=4/8/10, Max=3",""
"system.contract.energy.baseline","C-04","canonical.contracts","빛 기본 계약","Resource","StaticContract","Pass",True,0,"전투 시작 max3/full, 턴 시작 +1","Max=3, Turn+=1, StartFull=True",""
"system.contract.planning.command_shape","C-03","canonical.contracts","계획 단계 즉시행동 Command 계약","Contract","StaticContract","Pass",True,0,"도사림과 위세가 Resolution 재실행 없이 계획 단계에서 commit 가능한 command service 존재","BattleActionPlanCommandService / PlanningEffectCommitted / SkipResolution",""
